Date,ASSETS IN CARSO LEGACY,IDENTIFIED DEVICES IN CARSO,SERVERS WITH CORTEX IN CARSO LEGACY,SERVERS WITHOUT CORTEX IN CARSO,ALL UNIDENTIFIED SERVERS CARSO,ASSETS NO VENDOR CARSO
13/05/25,7191,5913,28,30,958,320
14/05/25,7560,6169,27,30,1009,382
15/05/25,7577,6174,28,30,1007,396
16/05/25,7494,6123,28,30,995,376
17/05/25,7384,6054,28,30,983,347
18/05/25,6669,5518,28,30,912,239
19/05/25,6408,5284,28,30,877,247
20/05/25,7233,5924,28,30,990,319
21/05/25,7566,6164,28,30,1021,381
22/05/25,7576,6180,27,30,1017,379
23/05/25,7545,6153,27,30,1012,380
24/05/25,7404,6030,28,30,1003,371
25/05/25,6691,5511,28,30,925,255
26/05/25,6380,5251,28,30,883,246
27/05/25,7244,5941,28,30,1003,300
28/05/25,7591,6166,27,30,1041,384
29/05/25,7615,6186,27,30,1032,397
30/05/25,7568,6163,27,30,1030,375
31/05/25,7507,6095,27,30,1029,383
01/06/25,6775,5561,27,30,941,273
02/06/25,6456,5299,27,30,889,268
03/06/25,7275,5962,27,30,996,317
04/06/25,7570,6152,27,30,1033,385
05/06/25,7595,6167,27,30,1035,393
06/06/25,7661,6212,27,30,1058,391
07/06/25,7554,6127,28,30,1050,377
08/06/25,6735,5526,28,30,948,261
09/06/25,6435,5280,28,30,899,256
10/06/25,7271,5953,28,30,1001,317
11/06/25,7634,6205,27,30,1048,381
12/06/25,7638,6209,27,30,1041,388
13/06/25,7569,6157,27,30,1035,377
14/06/25,7466,6079,27,30,1023,364
16/06/25,6257,5184,27,30,883,190
17/06/25,7057,5785,26,30,984,288
18/06/25,7572,6147,26,30,1052,373
19/06/25,7234,5907,26,30,997,330
20/06/25,7229,5908,27,29,991,330
21/06/25,6670,5472,27,29,944,254
22/06/25,6711,5503,27,29,946,262
23/06/25,6411,5258,27,29,895,258
24/06/25,7256,5932,27,29,1009,315